2023-06-19 16:22:09 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.MultipleJGitEnvironmentRepository - Fetched for remote main and found 1 updates
2023-06-19 16:26:15 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-06-19 16:26:15 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on 4e509b0a4a6f with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-06-19 16:26:15 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-06-19 16:26:16 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=e45cfef8-d204-391b-a902-213cf762b805
2023-06-19 16:26:16 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-06-19 16:26:16 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-06-19 16:26:16 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-19 16:26:16 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-06-19 16:26:16 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-19 16:26:16 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1033 ms
2023-06-19 16:26:17 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@515b9d4a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@39b626e5, org.springframework.security.web.context.SecurityContextPersistenceFilter@319642db, org.springframework.security.web.header.HeaderWriterFilter@62aeddc8, org.springframework.security.web.csrf.CsrfFilter@1f66d8e1, org.springframework.security.web.authentication.logout.LogoutFilter@dd3f8aa, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7d42404e, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@2eda4eeb, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@32a4ecbe, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@69a024a0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@35bfa1bb, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6b321262, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2e71240b, org.springframework.security.web.session.SessionManagementFilter@5707f613, org.springframework.security.web.access.ExceptionTranslationFilter@100ad67e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5fdfe8cf]
2023-06-19 16:26:17 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 16:26:17 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-06-19 16:26:17 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 16:26:17 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-06-19 16:26:17 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 16:26:17 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-06-19 16:26:22 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-06-19 16:26:22 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-06-19 16:26:22 [main] INFO  com.microservices.ConfigServer - Started ConfigServer in 7.096 seconds (JVM running for 7.486)
2023-06-19 16:26:47 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-19 16:26:47 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-06-19 16:26:47 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-06-19 16:38:29 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-06-19 16:38:29 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on 6f136cae56e0 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-06-19 16:38:29 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-06-19 16:38:29 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=e45cfef8-d204-391b-a902-213cf762b805
2023-06-19 16:38:30 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-06-19 16:38:30 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-06-19 16:38:30 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-19 16:38:30 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
